date value
2013-04-28 135.98
2013-04-29 147.49
2013-04-30 146.93
2013-05-01 139.89
2013-05-02 125.6
2013-05-03 108.13
2013-05-04 115
2013-05-05 118.8
2013-05-06 124.66
2013-05-07 113.44
2013-05-08 115.78
2013-05-09 113.46
2013-05-10 122
2013-05-11 118.68
2013-05-12 117.45
2013-05-13 118.7
2013-05-14 119.8
2013-05-15 115.81
2013-05-16 118.76
2013-05-17 125.3
2013-05-18 125.25
2013-05-19 124.5
2013-05-20 123.62
2013-05-21 123
2013-05-22 124
2013-05-23 126.93
2013-05-24 133.85
2013-05-25 133.22
2013-05-26 136
2013-05-27 135.47
2013-05-28 130.58
2013-05-29 132.59
2013-05-30 132.25
2013-05-31 129.9
2013-06-01 129.78
2013-06-02 129.4
2013-06-03 122.5
2013-06-04 123.84
2013-06-05 123.47
2013-06-06 123.1
2013-06-07 119
2013-06-08 111.42
2013-06-09 108.99
2013-06-10 110.1
2013-06-11 109.6
2013-06-12 111.79
2013-06-13 110.3
2013-06-14 104.7
2013-06-15 103.7
2013-06-16 101.6
2013-06-17 102.21
2013-06-18 111.11
2013-06-19 110.22
2013-06-20 114.3
2013-06-21 114.99
2013-06-22 109.96
2013-06-23 108.8
2013-06-24 108.33
2013-06-25 106.47
2013-06-26 105.49
2013-06-27 104
2013-06-28 101.74
2013-06-29 99.99
2013-06-30 98.12
2013-07-01 97.66
2013-07-02 92.3
2013-07-03 90.98
2013-07-04 83.11
2013-07-05 80
